County_Name,State_Name,Land_Area,Population_Density,Census_2010,Estimates_Base,Estimate_2010,Estimate_2011,Estimate_2012,Estimate_2013,Estimate_2014,Estimate_2015,Estimate_2016,Estimate_2017,Estimate_2018,Estimate_2019
Wapello County,Iowa,1120,82/sq mi (32/km2),35625,35624,35682,35486,35431,35507,35426,35456,35265,35022,34991,34969
Warren County,Iowa,1500,81/sq mi (31/km2),46225,46226,46340,46645,46895,47358,47827,48468,49356,50078,51014,51466
Washington County,Iowa,1470,38/sq mi (15/km2),21704,21704,21688,21822,21903,21944,22029,22145,22126,22204,22058,21965
Wayne County,Iowa,1360,12/sq mi (4.7/km2),6403,6403,6419,6337,6329,6385,6376,6359,6447,6492,6405,6441
Webster County,Iowa,1850,53/sq mi (20/km2),38013,38011,37879,37745,37323,37327,37069,37066,36781,36637,36339,35904
Winnebago County,Iowa,1000,27/sq mi (10/km2),10866,10874,10846,10696,10602,10430,10556,10603,10602,10573,10539,10354
Winneshiek County,Iowa,1800,31/sq mi (12/km2),21056,21058,21076,21051,21041,20840,20696,20745,20427,20129,20017,19991
Woodbury County,Iowa,2260,120/sq mi (45/km2),102172,102175,102388,102720,102321,102284,102292,102492,102686,102132,102515,103107
Worth County,Iowa,1000,19/sq mi (7.3/km2),7598,7591,7583,7561,7496,7489,7557,7503,7471,7455,7413,7381
Wright County,Iowa,1500,23/sq mi (8.8/km2),13229,13229,13185,13034,13020,12982,12906,12841,12839,12765,12690,12562
Allen County,Kansas,1000,27/sq mi (10/km2),13371,13372,13363,13350,13306,13069,12892,12683,12670,12555,12501,12369
Anderson County,Kansas,1500,14/sq mi (5/km2),8102,8102,8103,8060,7919,7854,7881,7816,7812,7833,7848,7858
Atchison County,Kansas,1120,39/sq mi (15/km2),16924,16921,16855,16753,16774,16688,16523,16418,16376,16298,16173,16073
Barber County,Kansas,2940,4.3/sq mi (1.7/km2),4861,4864,4852,4923,4867,4909,4881,4824,4673,4570,4465,4427
Barton County,Kansas,2320,31/sq mi (12/km2),27674,27672,27675,27697,27520,27443,27334,27159,26878,26394,26057,25779
Bourbon County,Kansas,1640,24/sq mi (9/km2),15173,15172,15135,14944,14878,14835,14797,14733,14624,14609,14542,14534
Brown County,Kansas,1480,17/sq mi (7/km2),9984,9984,9968,9972,9866,9912,9785,9708,9641,9609,9610,9564
Butler County,Kansas,3700,46/sq mi (18/km2),65880,65884,65901,65838,65669,65671,65861,66249,66652,66845,66833,66911
Chase County,Kansas,2000,3.6/sq mi (1.4/km2),2790,2790,2784,2769,2743,2690,2654,2656,2632,2651,2600,2648
Chautauqua County,Kansas,1660,5.7/sq mi (2.2/km2),3669,3669,3649,3610,3559,3529,3456,3387,3360,3315,3304,3250
Cherokee County,Kansas,1520,37/sq mi (14/km2),21603,21607,21526,21359,21192,20899,20768,20535,20256,20129,20035,19939
Cheyenne County,Kansas,2600,2.7/sq mi (1.0/km2),2726,2726,2714,2693,2667,2671,2686,2674,2667,2684,2645,2657
Clark County,Kansas,2530,2.3/sq mi (0.9/km2),2215,2215,2199,2120,2165,2178,2114,2081,2065,1995,1994,1994
Clay County,Kansas,1670,13/sq mi (5/km2),8535,8545,8548,8529,8504,8388,8301,8293,8105,8006,8003,8002
Cloud County,Kansas,1850,13/sq mi (5/km2),9533,9533,9519,9421,9417,9355,9331,9188,9070,8912,8734,8786
Coffey County,Kansas,1620,14/sq mi (5/km2),8601,8598,8585,8487,8467,8377,8394,8291,8339,8228,8232,8179
Comanche County,Kansas,2040,2.4/sq mi (0.9/km2),1891,1891,1886,1882,1914,1926,1950,1827,1838,1759,1736,1700
Cowley County,Kansas,2920,32/sq mi (12/km2),36311,36309,36312,36249,36267,36170,35896,35752,35650,35297,35149,34908
Crawford County,Kansas,1500,66/sq mi (25/km2),39134,39135,39172,39204,39324,39250,39269,39139,39046,38925,38911,38818
Decatur County,Kansas,2320,3.3/sq mi (1.3/km2),2961,2965,2957,2927,2884,2908,2897,2923,2828,2863,2860,2827
Dickinson County,Kansas,2190,23/sq mi (9/km2),19754,19749,19773,19685,19705,19433,19305,19206,18956,18829,18682,18466
Doniphan County,Kansas,1020,20/sq mi (8/km2),7945,7948,7960,7960,7890,7876,7840,7788,7718,7657,7658,7600
Douglas County,Kansas,1180,243/sq mi (94/km2),110826,110826,111198,112479,113313,114713,116445,118141,119662,120281,121109,122259
Edwards County,Kansas,1610,4.9/sq mi (1.9/km2),3037,3037,3054,3019,2965,2967,3025,2955,2899,2873,2820,2798
Elk County,Kansas,1670,4.5/sq mi (1.7/km2),2882,2882,2867,2786,2661,2633,2696,2574,2511,2514,2484,2530
Ellis County,Kansas,2330,32/sq mi (12/km2),28452,28452,28424,28765,29089,29030,28963,28999,28942,28735,28646,28553
Ellsworth County,Kansas,1850,9.1/sq mi (3.5/km2),6497,6497,6513,6461,6462,6365,6345,6302,6302,6284,6163,6102
Finney County,Kansas,3370,28/sq mi (11/km2),36776,36785,36952,37115,37110,37073,37119,37148,36885,36720,36528,36467
Ford County,Kansas,2840,31/sq mi (12/km2),33848,33844,34008,34372,34665,34879,34930,34629,34552,34218,33877,33619
Franklin County,Kansas,1480,45/sq mi (17/km2),25992,25996,25985,25856,25825,25734,25531,25469,25523,25631,25625,25544
Geary County,Kansas,1000,61/sq mi (24/km2),34362,34356,35243,35294,37903,36797,36446,36681,35223,33774,32777,31670
Gove County,Kansas,2780,2.5/sq mi (1.0/km2),2695,2701,2692,2726,2759,2794,2748,2698,2622,2622,2611,2636
Graham County,Kansas,2330,2.9/sq mi (1.1/km2),2597,2588,2602,2635,2581,2588,2557,2591,2562,2485,2475,2482
Grant County,Kansas,1490,14/sq mi (5/km2),7829,7824,7825,7896,7832,7846,7787,7724,7675,7490,7294,7150
Gray County,Kansas,2250,6.9/sq mi (2.7/km2),6006,6001,6026,6086,5963,5980,6062,6082,6031,6018,6076,5988
Greeley County,Kansas,2020,1.6/sq mi (0.6/km2),1247,1248,1259,1255,1268,1283,1302,1302,1277,1226,1229,1232
Greenwood County,Kansas,2960,5.9/sq mi (2.3/km2),6689,6689,6680,6611,6426,6358,6288,6233,6112,6067,6011,5982
Hamilton County,Kansas,2580,2.7/sq mi (1.0/km2),2690,2687,2707,2637,2651,2620,2659,2568,2634,2616,2600,2539
Harper County,Kansas,2070,7.5/sq mi (2.9/km2),6034,6034,6008,5937,5862,5842,5829,5781,5667,5580,5508,5436
Harvey County,Kansas,1400,64/sq mi (25/km2),34684,34684,34740,34691,34754,34715,34597,34802,34726,34373,34183,34429
Haskell County,Kansas,1500,7.4/sq mi (2.9/km2),4256,4256,4273,4235,4215,4126,4101,4089,4026,4019,3990,3968
Hodgeman County,Kansas,2200,2.2/sq mi (0.8/km2),1916,1918,1920,1957,1927,1924,1883,1869,1851,1863,1822,1794
Jackson County,Kansas,1700,21/sq mi (8/km2),13462,13460,13462,13427,13401,13310,13437,13285,13270,13332,13270,13171
Jefferson County,Kansas,1380,36/sq mi (14/km2),19126,19108,19121,18942,18861,18773,18805,18794,18824,18932,18856,19043
Jewell County,Kansas,2400,3.4/sq mi (1.3/km2),3077,3073,3063,3091,3054,3060,3043,2963,2880,2857,2845,2879
Johnson County,Kansas,1230,"1,100/sq mi (440/km2)",544179,544181,545655,552907,559428,566351,572940,579684,586015,591305,598127,602401
Kearny County,Kansas,2260,4.6/sq mi (1.8/km2),3977,3982,4002,3958,3971,3912,3938,3929,3890,3935,3941,3838
Kingman County,Kansas,2240,9.1/sq mi (3.5/km2),7858,7860,7857,7891,7825,7801,7683,7636,7417,7275,7220,7152
Kiowa County,Kansas,1870,3.5/sq mi (1.4/km2),2553,2553,2569,2558,2513,2534,2532,2570,2507,2486,2489,2475
Labette County,Kansas,1670,33/sq mi (13/km2),21607,21609,21537,21377,21163,20871,20773,20628,20313,20129,19906,19618
Lane County,Kansas,1860,,1750,1749,1736,1743,1684,1698,1666,1630,1593,1548,1546,1535
Leavenworth County,Kansas,1200,165/sq mi (64/km2),76227,76220,76520,77075,77644,78082,78554,79119,80244,81109,81497,81758
Lincoln County,Kansas,1860,4.5/sq mi (1.7/km2),3241,3241,3244,3234,3181,3161,3184,3142,3077,3043,2998,2962
Linn County,Kansas,1540,16/sq mi (6/km2),9656,9656,9626,9612,9485,9543,9536,9580,9606,9697,9771,9703
Logan County,Kansas,2780,2.6/sq mi (1.0/km2),2756,2759,2774,2766,2794,2775,2768,2787,2818,2814,2812,2794
Lyon County,Kansas,2190,40/sq mi (20/km2),33690,33692,33648,33652,33550,33479,33143,33133,33369,33257,33300,33195
McPherson County,Kansas,2330,32/sq mi (13/km2),29180,29186,29128,29154,29221,29415,28896,28648,28429,28687,28528,28542
Marion County,Kansas,2440,13/sq mi (5.1/km2),12660,12660,12671,12545,12376,12205,12188,12053,12017,11945,11923,11884
Marshall County,Kansas,2000,11/sq mi (4/km2),10117,10117,10111,9983,10026,9973,9945,9845,9789,9687,9715,9707
Meade County,Kansas,2530,4.7/sq mi (1.8/km2),4575,4575,4596,4519,4378,4286,4357,4301,4236,4230,4098,4033
Miami County,Kansas,1490,57/sq mi (22/km2),32787,32781,32882,32737,32669,32834,32868,32758,32923,33429,33737,34237
Mitchell County,Kansas,1820,9.1/sq mi (3.5/km2),6373,6373,6336,6284,6301,6309,6248,6294,6207,6137,6110,5979
Montgomery County,Kansas,1670,55/sq mi (21/km2),35471,35468,35349,34779,34472,34444,34090,33436,32859,32390,32091,31829
Morris County,Kansas,1800,8.5/sq mi (3.3/km2),5923,5923,5918,5864,5849,5719,5664,5628,5558,5467,5557,5620
Morton County,Kansas,1900,4.4/sq mi (1.7/km2),3233,3233,3240,3176,3127,3116,3041,2953,2790,2747,2693,2587
Nemaha County,Kansas,1860,14/sq mi (5/km2),10178,10178,10159,10088,10067,10092,10087,10094,10089,10060,10125,10231
Neosho County,Kansas,1480,29/sq mi (11/km2),16512,16511,16475,16447,16420,16383,16325,16287,16127,16094,16025,16007
Ness County,Kansas,2780,2.9/sq mi (1.1/km2),3107,3107,3104,3118,3077,3087,3089,3020,2957,2856,2796,2750
Norton County,Kansas,2270,6.5/sq mi (2.5/km2),5671,5669,5664,5656,5586,5614,5534,5536,5491,5421,5419,5361
Osage County,Kansas,1830,23/sq mi (9/km2),16295,16294,16274,16341,16176,16080,15970,15865,15811,15842,15938,15949
Osborne County,Kansas,2310,4.3/sq mi (1.7/km2),3858,3861,3850,3833,3809,3800,3752,3641,3588,3539,3459,3421
Ottawa County,Kansas,1870,8.5/sq mi (3.3/km2),6091,6091,6096,6064,6029,6044,6030,5934,5905,5817,5752,5704
Pawnee County,Kansas,1950,9.2/sq mi (3.6/km2),6973,6971,6980,6978,6863,6863,6822,6769,6719,6665,6573,6414
Phillips County,Kansas,2290,6.4/sq mi (2.5/km2),5642,5640,5632,5541,5521,5560,5494,5420,5402,5370,5276,5234
Pottawatomie County,Kansas,2180,26/sq mi (10/km2),21604,21608,21727,22028,22331,22574,22740,23123,23605,23916,24209,24383
Pratt County,Kansas,1900,13/sq mi (5/km2),9656,9653,9641,9644,9758,9778,9768,9697,9557,9500,9340,9164
Rawlins County,Kansas,2770,2.4/sq mi (0.9/km2),2519,2519,2496,2508,2509,2563,2543,2506,2500,2473,2502,2530
Reno County,Kansas,3250,51/sq mi (20/km2),64511,64511,64552,64429,64205,64079,63701,63596,63184,62714,62331,61998
Republic County,Kansas,1855.4,7.2/sq mi (2.8/km2),4980,4980,4938,4892,4826,4767,4741,4688,4659,4654,4652,4636
Rice County,Kansas,1880,14/sq mi (5/km2),10083,10082,10115,10097,9990,9978,9971,9925,9782,9563,9483,9537
Riley County,Kansas,1600,117/sq mi (45/km2),71115,71130,71551,73424,77497,76923,76479,77185,75172,73977,74712,74232
Rooks County,Kansas,2310,5.8/sq mi (2.2/km2),5181,5181,5195,5200,5221,5195,5204,5179,5118,5055,4995,4920
Rush County,Kansas,1860,4.6/sq mi (1.8/km2),3307,3307,3314,3211,3208,3176,3161,3098,3054,3048,3056,3036
Russell County,Kansas,2290,7.8/sq mi (3.0/km2),6970,6967,7001,6987,6990,6977,7007,7044,7007,6930,6902,6856
Saline County,Kansas,1900,77/sq mi (30/km2),55606,55604,55780,55778,55829,55750,55511,55429,54955,54508,54387,54224
Scott County,Kansas,1860,6.9/sq mi (2.7/km2),4936,4936,4959,4889,4853,4906,4966,4948,4979,4928,4909,4823
Sedgwick County,Kansas,2580,490/sq mi (190/km2),498365,498356,499128,501011,504101,506442,508968,511083,513092,513176,513484,516042
Seward County,Kansas,1660,36/sq mi (14/km2),22952,22950,22970,23128,23353,23311,23303,23273,22897,22245,21902,21428
Shawnee County,Kansas,1410,320/sq mi (120/km2),177934,177943,178360,178948,178975,178650,178567,178689,178350,178056,177290,176875
Sheridan County,Kansas,2320,2.9/sq mi (1.1/km2),2556,2544,2530,2502,2491,2500,2502,2475,2485,2526,2522,2521
Sherman County,Kansas,2740,5.7/sq mi (2.2/km2),6010,6010,6018,6053,6120,6090,6067,5964,5955,5936,5917,5917
Smith County,Kansas,2320,4.3/sq mi (1.7/km2),3853,3853,3860,3791,3753,3699,3729,3689,3656,3615,3590,3583
Stafford County,Kansas,2050,5.6/sq mi (2.2/km2),4437,4439,4429,4380,4350,4339,4281,4215,4186,4186,4162,4156
Stanton County,Kansas,1800,3.3/sq mi (1.3/km2),2235,2236,2246,2213,2155,2178,2141,2070,2105,2055,2025,2006
Stevens County,Kansas,1880,7.9/sq mi (3.0/km2),5724,5726,5752,5631,5738,5808,5840,5789,5653,5551,5536,5485
Sumner County,Kansas,3060,20/sq mi (7.9/km2),24132,24137,24118,23787,23635,23537,23384,23417,23183,23117,23019,22836
Thomas County,Kansas,2780,7.3/sq mi (2.8/km2),7900,7902,7930,7941,7933,7933,7836,7895,7847,7821,7710,7777
Trego County,Kansas,2300,3.3/sq mi (1.3/km2),3001,3006,3006,2954,2941,2945,2895,2907,2852,2843,2797,2803
Wabaunsee County,Kansas,2060,8.8/sq mi (3.4/km2),7053,7055,7049,7038,6994,7025,6938,6887,6884,6832,6912,6931
Wallace County,Kansas,2370,1.6/sq mi (0.63/km2),1485,1485,1480,1526,1523,1560,1501,1505,1502,1515,1489,1518
Washington County,Kansas,2320,6.5/sq mi (2.5/km2),5799,5794,5785,5820,5727,5626,5610,5568,5564,5479,5450,5406
Wichita County,Kansas,1860,3.1/sq mi (1.2/km2),2234,2234,2239,2259,2228,2192,2188,2167,2131,2121,2112,2119
Wilson County,Kansas,1500,16/sq mi (6.3/km2),9409,9406,9389,9238,9120,9091,8970,8845,8698,8707,8666,8525
Woodson County,Kansas,1290,6.6/sq mi (2.5/km2),3309,3309,3308,3322,3275,3215,3187,3144,3189,3130,3184,3138
Wyandotte County,Kansas,390,"1,000/sq mi (390/km2)",157505,157523,157633,158011,159379,160933,162246,163682,164785,165087,165321,165429
Adair County,Kentucky,1050,46/sq mi (18/km2),18656,18659,18757,18987,18934,19124,19262,19162,19259,19287,19199,19202
Allen County,Kentucky,890,61/sq mi (24/km2),19956,19958,20037,20176,20232,20316,20493,20660,20721,20903,21122,21315
Anderson County,Kentucky,520,106/sq mi (41/km2),21421,21462,21470,21564,21694,21747,21868,21920,22191,22545,22641,22747
Ballard County,Kentucky,640,33/sq mi (13/km2),8249,8246,8260,8269,8285,8252,8188,8216,8046,8018,7992,7888
Barren County,Kentucky,1260,87/sq mi (34/km2),42173,42161,42116,42321,42607,42937,43034,43546,43763,43746,44115,44249
Bath County,Kentucky,720,42/sq mi (16/km2),11591,11587,11618,11715,11780,11975,12130,12203,12246,12381,12444,12500
Bell County,Kentucky,930,80/sq mi (30/km2),28691,28691,28709,28658,28284,28031,27826,27370,27204,26863,26487,26032
Boone County,Kentucky,640,349/sq mi (135/km2),118811,118810,119373,121710,123412,125022,126677,128161,129503,130952,131901,133581
Bourbon County,Kentucky,800,69/sq mi (27/km2),19985,20008,19965,20051,20050,20026,20055,20166,20130,20092,20116,19788
Boyd County,Kentucky,400,310/sq mi (120/km2),49542,49534,49602,49407,49224,48880,48798,48471,48121,47808,47292,46718
Boyle County,Kentucky,500,158/sq mi (61/km2),28432,28443,28674,28800,29020,29632,29810,29782,29965,29972,30082,30060
Bracken County,Kentucky,530,41/sq mi (16/km2),8488,8486,8513,8510,8462,8423,8359,8290,8368,8285,8278,8303
Breathitt County,Kentucky,1270,28/sq mi (11/km2),13878,13876,13857,13789,13612,13527,13366,13363,13177,12929,12787,12630
Breckinridge County,Kentucky,1470,35/sq mi (14/km2),20059,20053,20043,20272,20074,20042,19883,19979,19982,20131,20309,20477
Bullitt County,Kentucky,770,250/sq mi (100/km2),74319,74308,74500,75195,75902,76878,78023,78677,79222,80269,81009,81676
Butler County,Kentucky,1100,30/sq mi (10/km2),12690,12697,12735,12718,12738,12704,12736,12734,12686,12778,12743,12879
Caldwell County,Kentucky,890,38/sq mi (15/km2),12984,12989,13010,13027,12992,12887,12848,12748,12634,12666,12716,12747
Calloway County,Kentucky,1000,97/sq mi (37/km2),37191,37190,37348,37667,38046,38425,38452,38656,38733,38832,38964,39001
Campbell County,Kentucky,390,612/sq mi (236/km2),90336,90338,90623,91241,91246,91423,91971,92124,92257,92878,93464,93584
Carlisle County,Kentucky,490,27/sq mi (10/km2),5104,5097,5083,5034,5027,4959,4961,4852,4783,4788,4739,4760
Carroll County,Kentucky,330,84/sq mi (32/km2),10811,10807,10806,10994,10874,10838,10738,10682,10614,10714,10712,10631
Carter County,Kentucky,1060,68/sq mi (26/km2),27720,27721,27746,27627,27637,27600,27517,27439,27304,27214,27040,26797
Casey County,Kentucky,1150,36/sq mi (14/km2),15955,15960,15984,15911,16024,16011,15782,15749,15775,15818,15926,16159
Christian County,Kentucky,1860,103/sq mi (40/km2),73955,73940,74130,73464,74892,73612,73282,73075,71796,71024,70712,70461
Clark County,Kentucky,650,141/sq mi (54/km2),35613,35603,35603,35434,35685,35550,35622,35660,35851,35899,36180,36263
Clay County,Kentucky,1210,46/sq mi (18/km2),21730,21729,21660,21591,21518,21186,21081,20974,20626,20251,20088,19901
Clinton County,Kentucky,510,52/sq mi (20/km2),10272,10267,10244,10158,10270,10175,10203,10183,10200,10212,10152,10218
Crittenden County,Kentucky,900,26/sq mi (10/km2),9315,9315,9297,9249,9220,9178,9175,9168,9131,8999,8896,8806
Cumberland County,Kentucky,790,22/sq mi (8/km2),6856,6849,6864,6870,6855,6790,6722,6737,6731,6710,6693,6614
Daviess County,Kentucky,1190,198/sq mi (76/km2),96656,96641,96704,97159,97840,98294,98441,99485,100032,100461,100883,101511
Edmonson County,Kentucky,780,40/sq mi (20/km2),12161,12177,12228,12229,12091,12058,12007,11991,12076,12226,12249,12150
Elliott County,Kentucky,610,34/sq mi (13/km2),7852,7850,7843,7782,7633,7551,7532,7548,7491,7493,7499,7517
Estill County,Kentucky,660,58/sq mi (22/km2),14672,14679,14713,14654,14503,14482,14441,14373,14315,14178,14150,14106
Fayette County,Kentucky,740,"1,087/sq mi (420/km2)",295803,295870,296848,301696,305947,309865,311784,315819,319644,321964,322426,323152
Fleming County,Kentucky,900,41/sq mi (16/km2),14348,14346,14400,14483,14525,14536,14476,14578,14481,14439,14485,14581
Floyd County,Kentucky,1020,100/sq mi (40/km2),39451,39450,39930,39752,39126,38474,37998,37531,36968,36296,35896,35589
Franklin County,Kentucky,540,237/sq mi (92/km2),49285,49268,49253,49313,49453,49478,49725,50070,50292,50492,50801,50991
Fulton County,Kentucky,530,33/sq mi (13/km2),6813,6813,6807,6747,6564,6389,6266,6266,6185,6163,6066,5969
Gallatin County,Kentucky,260,85/sq mi (33/km2),8589,8586,8612,8619,8552,8578,8636,8613,8719,8720,8766,8869
Garrard County,Kentucky,600,74/sq mi (29/km2),16912,16905,16941,16868,17006,16992,16972,17207,17382,17449,17519,17666
Grant County,Kentucky,670,96/sq mi (37/km2),24662,24655,24677,24765,24521,24565,24829,24736,24910,24973,25065,25069
Graves County,Kentucky,1430,67/sq mi (26/km2),37121,37151,37262,37613,37566,37406,37583,37248,37217,37190,37319,37266
Grayson County,Kentucky,1290,52/sq mi (20/km2),25746,25749,25786,25752,25792,25948,26066,26138,26093,26286,26293,26427
Green County,Kentucky,740,39/sq mi (15/km2),11258,11255,11230,11191,11277,11154,11017,10951,10969,11036,10998,10941
Greenup County,Kentucky,890,107/sq mi (41/km2),36910,36906,36885,36841,36686,36483,36303,36006,35824,35514,35332,35098
Hancock County,Kentucky,490,46/sq mi (18/km2),8565,8565,8551,8588,8642,8626,8681,8641,8723,8778,8738,8722
Hardin County,Kentucky,1610,169/sq mi (65/km2),105543,105537,106950,107497,108198,108969,108483,106272,106964,108161,110279,110958
Harlan County,Kentucky,1210,63/sq mi (24/km2),29278,29278,29222,29129,28681,28489,28014,27506,26996,26676,26309,26010
Harrison County,Kentucky,790,62/sq mi (24/km2),18846,18850,18810,18689,18622,18571,18636,18641,18569,18735,18780,18886
Hart County,Kentucky,1070,46/sq mi (18/km2),18199,18194,18188,18289,18401,18464,18512,18421,18541,18745,18902,19035
Henderson County,Kentucky,1130,106/sq mi (41/km2),46250,46246,46260,46334,46419,46338,46366,46344,46212,45867,45512,45210
Henry County,Kentucky,740,54/sq mi (21/km2),15416,15413,15376,15375,15336,15432,15547,15563,15834,15972,16061,16126
Hickman County,Kentucky,630,20/sq mi (8/km2),4902,4903,4860,4783,4737,4708,4679,4612,4607,4518,4431,4380
Hopkins County,Kentucky,1400,87/sq mi (34/km2),46920,46918,46841,46844,46607,46424,46155,46055,45598,45293,45024,44686
Jackson County,Kentucky,890,39/sq mi (15/km2),13494,13490,13480,13384,13307,13391,13307,13325,13364,13422,13403,13329
Jefferson County,Kentucky,1000,"2,011/sq mi (776/km2)",741096,741075,742054,746361,751629,759183,761725,764946,767464,769828,768101,766757
Jessamine County,Kentucky,450,290/sq mi (110/km2),48586,48580,48682,48892,49467,50120,50871,51809,52219,53259,53757,54115
Johnson County,Kentucky,680,89/sq mi (34/km2),23356,23359,23385,23417,23403,23458,23252,23128,22858,22606,22391,22188
Kenton County,Kentucky,400,997/sq mi (385/km2),159720,159728,159961,160526,161704,163131,163623,164478,164962,165608,166292,166998
Knott County,Kentucky,910,47/sq mi (18/km2),16346,16364,16355,16312,16127,16092,15944,15680,15492,15244,15076,14806
Knox County,Kentucky,1000,82/sq mi (32/km2),31883,31888,31851,31878,31494,31638,31540,31465,31471,31444,31300,31145
Larue County,Kentucky,680,54/sq mi (21/km2),14193,14181,14169,14179,14048,14019,14106,14110,14018,14196,14299,14398
Laurel County,Kentucky,1120,136/sq mi (53/km2),58849,58849,58998,59359,59534,59701,59897,59919,60078,60317,60660,60813
Lawrence County,Kentucky,1080,38/sq mi (15/km2),15860,15859,15866,15941,15891,15901,15878,15861,15839,15756,15583,15317
Lee County,Kentucky,540,38/sq mi (15/km2),7887,7887,7717,7707,7581,6876,6796,6746,6604,6602,7052,7403
Leslie County,Kentucky,1040,28/sq mi (11/km2),11310,11310,11278,11237,11140,10985,10830,10644,10431,10310,10151,9877
Letcher County,Kentucky,880,73/sq mi (28/km2),24519,24511,24534,24376,24011,23540,23357,23049,22759,22303,21813,21553
Lewis County,Kentucky,1250,29/sq mi (11/km2),13870,13883,13837,13837,13839,13751,13830,13663,13516,13363,13268,13275
Lincoln County,Kentucky,870,74/sq mi (29/km2),24742,24736,24724,24721,24404,24438,24429,24342,24382,24495,24612,24549
Livingston County,Kentucky,810,30/sq mi (10/km2),9519,9519,9520,9502,9435,9332,9329,9289,9198,9249,9244,9194
Logan County,Kentucky,1430,49/sq mi (19/km2),26835,26832,26851,26847,26722,26976,26812,26746,26678,27003,26983,27102
Lyon County,Kentucky,550,39/sq mi (15/km2),8314,8319,8329,8435,8446,8452,8411,8474,8238,8261,8171,8210
McCracken County,Kentucky,640,264/sq mi (102/km2),65565,65539,65515,65794,65584,65337,65318,64948,65304,65364,65307,65418
McCreary County,Kentucky,1110,43/sq mi (17/km2),18306,18306,18328,18283,18051,17925,17922,17883,17548,17372,17290,17231
McLean County,Kentucky,650,38/sq mi (15/km2),9531,9540,9515,9508,9490,9453,9407,9395,9337,9216,9258,9207
Madison County,Kentucky,1130,209/sq mi (81/km2),82916,82913,83468,84775,85394,85934,87080,88212,89532,91170,92107,92987
Magoffin County,Kentucky,800,43/sq mi (17/km2),13333,13333,13306,13220,13061,12941,12980,12784,12668,12519,12323,12161
Marion County,Kentucky,890,58/sq mi (22/km2),19820,19835,19840,20001,19918,19928,19079,19212,19135,19276,19326,19273
Marshall County,Kentucky,780,104/sq mi (40/km2),31448,31448,31451,31261,31261,31215,30993,31059,31280,31318,31202,31100
Martin County,Kentucky,600,56/sq mi (22/km2),12929,12929,12895,12829,12725,12651,12494,12285,11945,11492,11325,11195
Mason County,Kentucky,600,73/sq mi (28/km2),17490,17490,17505,17546,17460,17323,17133,17050,17167,17192,17080,17070
Meade County,Kentucky,790,94/sq mi (36/km2),28602,28613,28714,29643,29255,29240,29086,27725,27959,28033,28623,28572
Menifee County,Kentucky,530,31/sq mi (12/km2),6306,6309,6371,6419,6338,6341,6304,6373,6449,6465,6437,6489
Mercer County,Kentucky,640,86/sq mi (33/km2),21331,21311,21308,21275,21323,21291,21360,21377,21405,21542,21702,21933
Metcalfe County,Kentucky,800,35/sq mi (14/km2),10099,10116,10147,10070,9983,9960,9997,9925,10020,10093,10070,10071
Monroe County,Kentucky,850,36/sq mi (14/km2),10963,10963,10970,10918,10848,10715,10674,10618,10539,10597,10732,10650
Montgomery County,Kentucky,510,134/sq mi (52/km2),26499,26507,26549,26751,26860,27229,27365,27576,27666,27913,28109,28157
Morgan County,Kentucky,990,37/sq mi (14/km2),13923,13921,13726,13719,13531,13362,13343,13267,13260,13230,13372,13309
Muhlenberg County,Kentucky,1210,67/sq mi (26/km2),31499,31499,31657,31528,31382,31323,31302,31245,31150,30925,30811,30622
Nelson County,Kentucky,1080,104/sq mi (40/km2),43437,43441,43629,44062,44401,44540,44858,45114,45497,45591,45813,46233
Nicholas County,Kentucky,510,37/sq mi (14/km2),7135,7129,7128,7088,7008,7008,7050,7059,7083,7160,7195,7269
Ohio County,Kentucky,1520,41/sq mi (16/km2),23842,23854,23834,23985,24021,23975,23948,24021,24158,24116,24064,23994
Oldham County,Kentucky,480,310/sq mi (120/km2),60316,60356,60437,60772,62105,63062,63969,64556,65410,66557,66512,66799
Owen County,Kentucky,910,31/sq mi (12/km2),10841,10837,10850,10825,10762,10645,10657,10736,10668,10794,10881,10901
Owsley County,Kentucky,510,24/sq mi (9.3/km2),4755,4755,4748,4806,4681,4599,4502,4445,4472,4402,4474,4415
Pendleton County,Kentucky,720,53/sq mi (20/km2),14877,14874,14915,14662,14552,14565,14476,14487,14595,14602,14588,14590
Perry County,Kentucky,900,84/sq mi (32/km2),28712,28697,28669,28698,28295,27982,27554,27373,27197,26586,26208,25758
Pike County,Kentucky,2040,82/sq mi (32/km2),65024,65029,65074,64908,64582,63853,62931,61781,60431,58905,58492,57876
Powell County,Kentucky,460,70/sq mi (27/km2),12613,12613,12643,12618,12471,12470,12349,12226,12266,12297,12371,12359
Pulaski County,Kentucky,1700,93/sq mi (36/km2),63063,63061,63190,63510,63514,63793,63866,63862,64013,64314,64584,64979
Robertson County,Kentucky,300,23/sq mi (8.8/km2),2282,2282,2275,2290,2214,2214,2185,2134,2125,2120,2130,2108
Rockcastle County,Kentucky,820,54/sq mi (21/km2),17056,17056,17081,17108,17057,16742,16826,16932,16872,16778,16823,16695
Rowan County,Kentucky,700,82/sq mi (31/km2),23333,23336,23376,23558,23796,24210,24250,24642,24416,24514,24503,24460
Russell County,Kentucky,660,62/sq mi (24/km2),17565,17565,17573,17700,17637,17749,17787,17685,17769,17723,17790,17923
